web-scraper-order,web-scraper-start-url,team_list,team_list-href,player_list,player_list-href,Name,Birth,Amplua,Height,Photo-src,Sport-achievements-src,Weight,team-name
"1585688699-927","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12439/Itemid,4259/","Ярослав Горобець","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2969/Itemid,4259/","Ярослав Горобець","12. 10. 1989 (29)","Діагональний","184 cm","https://ukv.org.ua//images/stories/Classic/2016-2017/teams/K_Sokil/Gorobets_yarosl.jpg","","78 kg","Команда  Райдужний"
"1585688654-906","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12440/Itemid,4259/","Антон П`ятак","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,852/Itemid,4259/","Антон П`ятак","12. 03. 1992 (27)","Зв`язуючий","176 cm","https://ukv.org.ua/images/stories/2011-2012/man/3divizion/Morita/Pyatak.jpg","","72 kg","Команда  ТНТ"
"1585688738-944","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12432/Itemid,4259/","Віктор Панов","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,347/Itemid,4259/","Віктор Панов","08. 10. 1988 (30)","Зв`язуючий","184 cm","https://ukv.org.ua/images/stories/2011-2012/man/3divizion/Apollon/Panov.jpg","","null","Команда  ПІМ"
"1585688611-887","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12442/Itemid,4259/","Євген Романов","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,86/Itemid,4259/","Євген Романов","19. 07. 1965 (54)","Зв`язуючий","175 cm","https://ukv.org.ua/images/stories/2010-2011/man/1divizion/USTS/romanov.JPG","https://ukv.org.ua/images/joomleague/flags/jp.png","72 kg","Команда  Укрспецтехніка"
"1585688712-932","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Сергій Андрух","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,3174/Itemid,4259/","Сергій Андрух","05. 07. 1996 (23)","Блокуючий","196 cm","https://ukv.org.ua//images/stories/Classic/2016-2017/teams/Duss_12/players/andruh_serg.jpg","","75 kg","Команда  Прорив"
"1585688679-917","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12439/Itemid,4259/","Ростислав Андрусенко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,1258/Itemid,4259/","Ростислав Андрусенко","12. 05. 1994 (25)","Блокуючий","190 cm","https://ukv.org.ua/images/stories/Classic/2015-2016/Astron/Andrusenko.jpg","","65 kg","Команда  Райдужний"
"1585688780-962","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12437/Itemid,4259/","Олег Нікулін","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,820/Itemid,4259/","Олег Нікулін","15. 05. 1981 (38)","Ліберо","183 cm","https://ukv.org.ua/images/stories/2011-2012/man/3divizion/Kofeynya/Nikulin.png","","null","Команда  НАСОА"
"1585688710-931","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12438/Itemid,4259/","Юрій Чередніченко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,2379/Itemid,4259/","Юрій Чередніченко","09. 06. 1993 (26)","Зв`язуючий","185 cm","https://ukv.org.ua//images/stories/park/2015/Man/players/cherednichenko.jpg","","92 kg","Команда  Прорив"
"1585688627-895","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12442/Itemid,4259/","Михаил Зеленко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,746/Itemid,4259/","Михаил Зеленко","07. 02. 1971 (48)","Діагональний","183 cm","https://ukv.org.ua/images/stories/2010-2011/beach/Zelenko.jpg","","87 kg","Команда  Укрспецтехніка"
"1585688635-898","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=402&Itemid=4259","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,402/ttid,12441/Itemid,4259/","Дмитро Жевнеров","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,402/pid,146/Itemid,4259/","Дмитро Жевнеров","13. 07. 1984 (35)","Блокуючий","190 cm","https://ukv.org.ua/images/stories/2011-2012/man/3divizion/KA/05-zhevnerov.jpg","https://ukv.org.ua/images/joomleague/flags/az.png","81 kg","Команда  ТТ (3-й тайм)"
