web-scraper-order,web-scraper-start-url,team_list,team_list-href,player_list,player_list-href,Name,Birth,Amplua,Height,Photo-src,Sport-achievements-src,Weight,team-name
"1585688271-818","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12456/Itemid,4257/","Олександр Попович","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,3605/Itemid,4257/","Олександр Попович","13. 02. 1993 (25)","Блокуючий","190 cm","https://ukv.org.ua//images/stories/Classic/2017-2018/Teams/photo/Popovich.png","","null","Команда  Коло друзів"
"1585688221-796","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12458/Itemid,4257/","Віктор Феодосьєв","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,3068/Itemid,4257/","Віктор Феодосьєв","28. 09. 1992 (26)","Нападаючий","180 cm","https://ukv.org.ua//images/stories/Classic/2016-2017/teams/X/players/feodos_vikt.jpg","","null","Команда  Сахалін 2"
"1585688197-786","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12453/Itemid,4257/","Микола Науменко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,1050/Itemid,4257/","Микола Науменко","17. 12. 1986 (31)","Діагональний","185 cm","https://ukv.org.ua/images/stories/2011-2012/man/3divizion/Novobelichi/Naumenko.jpg","","91 kg","Команда  ТС"
"1585688285-824","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12454/Itemid,4257/","Олександр Гакавий","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,3903/Itemid,4257/","Олександр Гакавий","27. 07. 2003 (15)","Ліберо","174 cm","https://ukv.org.ua//images/stories/Classic/2018-2019/Gakavy.jpg","","null","Команда  КСЛІ"
"1585688170-774","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12459/Itemid,4257/","Iгор Федянiн","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,2124/Itemid,4257/","Iгор Федянiн","21. 04. 1992 (26)","Діагональний","193 cm","https://ukv.org.ua//images/stories/Classic/2014-2015/Teams/Oreanda/Fedyanin.jpg","","95 kg","Команда  Факел"
"1585688370-862","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12461/Itemid,4257/","Михайло Пилипенко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,1256/Itemid,4257/","Михайло Пилипенко","28. 12. 1992 (25)","Зв`язуючий","185 cm","https://ukv.org.ua//images/stories/Classic/2018-2019/Pylypenko.jpg","","null","Команда  Вектор"
"1585688406-878","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12455/Itemid,4257/","Сергій Гриценко","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,795/Itemid,4257/","Сергій Гриценко","12. 02. 1983 (35)","Нападаючий","190 cm","https://ukv.org.ua/images/stories/Classic/2019-2020/Gritsenko.jpg","","100 kg","Команда  Ірпінь"
"1585688351-854","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12460/Itemid,4257/","Андрій Отяковський","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,2994/Itemid,4257/","Андрій Отяковський","07. 12. 1996 (21)","Нападаючий","180 cm","https://ukv.org.ua//images/stories/Classic/2016-2017/teams/KKLP-2/players/Otakovs_andr.jpg","","76 kg","Команда  ККЛП-Метеор"
"1585688245-807","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12457/Itemid,4257/","Максим Куцан","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,633/Itemid,4257/","Максим Куцан","13. 02. 1990 (28)","Нападаючий","190 cm","https://ukv.org.ua/images/stories/2010-2011/man/3divizion/Dandi/Kucan.jpg","","71 kg","Команда  Літаючий м`яч"
"1585688183-779","https://ukv.org.ua/index.php?option=com_joomleague&func=showResultsRank&layout=bydiv&p=401&Itemid=4257","","https://ukv.org.ua/component/option,com_joomleague/func,showPlayers/p,401/ttid,12453/Itemid,4257/","Володимир Жуков","https://ukv.org.ua/component/option,com_joomleague/func,showPlayer/p,401/pid,2332/Itemid,4257/","Володимир Жуков","30. 05. 1982 (36)","Блокуючий","190 cm","https://ukv.org.ua//images/stories/Classic/2012-2013/Man/Jukov.jpg","","68 kg","Команда  ТС"
